Gmt time,Open,High,Low,Close,Volume
01.02.2018 00:00:00.000,1.24168,1.24213,1.24165,1.24207,746.37
01.02.2018 00:05:00.000,1.24207,1.24227,1.24187,1.24217,600.57
01.02.2018 00:10:00.000,1.24217,1.24283,1.24210,1.24283,663.93
01.02.2018 00:15:00.000,1.24284,1.24284,1.24241,1.24272,537.05
01.02.2018 00:20:00.000,1.24273,1.24287,1.24245,1.24251,461.52
01.02.2018 00:25:00.000,1.24251,1.24251,1.24197,1.24211,470.63
01.02.2018 00:30:00.000,1.24211,1.24236,1.24190,1.24236,635.58
01.02.2018 00:35:00.000,1.24235,1.24275,1.24231,1.24256,560.75
01.02.2018 00:40:00.000,1.24256,1.24260,1.24220,1.24245,589.14
01.02.2018 00:45:00.000,1.24245,1.24245,1.24184,1.24206,616.31
01.02.2018 00:50:00.000,1.24209,1.24213,1.24177,1.24179,676.84
01.02.2018 00:55:00.000,1.24179,1.24210,1.24175,1.24207,431.76000000000005
01.02.2018 01:00:00.000,1.24207,1.24207,1.24129,1.24147,606.3800000000001
01.02.2018 01:05:00.000,1.24147,1.24171,1.24112,1.24133,680.1800000000001
01.02.2018 01:10:00.000,1.24135,1.24158,1.24131,1.24151,579.07
01.02.2018 01:15:00.000,1.24151,1.24171,1.24080,1.24106,845.7299999999999
01.02.2018 01:20:00.000,1.24106,1.24106,1.24065,1.24095,869.92
01.02.2018 01:25:00.000,1.24095,1.24105,1.24055,1.24101,827.85
01.02.2018 01:30:00.000,1.24100,1.24171,1.24096,1.24171,842.19
01.02.2018 01:35:00.000,1.24172,1.24207,1.24162,1.24191,769.6800000000001
01.02.2018 01:40:00.000,1.24192,1.24261,1.24190,1.24246,967.31
01.02.2018 01:45:00.000,1.24247,1.24257,1.24206,1.24212,962.95
01.02.2018 01:50:00.000,1.24212,1.24226,1.24196,1.24205,623.01
01.02.2018 01:55:00.000,1.24205,1.24222,1.24177,1.24190,765.25
01.02.2018 02:00:00.000,1.24190,1.24232,1.24177,1.24231,924.6200000000001
01.02.2018 02:05:00.000,1.24232,1.24243,1.24218,1.24218,480.03
01.02.2018 02:10:00.000,1.24221,1.24277,1.24221,1.24260,605.24
01.02.2018 02:15:00.000,1.24258,1.24270,1.24217,1.24228,487.53000000000003
01.02.2018 02:20:00.000,1.24227,1.24268,1.24226,1.24237,603.9599999999999
01.02.2018 02:25:00.000,1.24237,1.24240,1.24217,1.24221,515.4
01.02.2018 02:30:00.000,1.24221,1.24226,1.24200,1.24206,803.11
01.02.2018 02:35:00.000,1.24207,1.24222,1.24198,1.24200,439.2
01.02.2018 02:40:00.000,1.24200,1.24200,1.24151,1.24183,1009.1400000000001
01.02.2018 02:45:00.000,1.24181,1.24196,1.24176,1.24180,599.36
01.02.2018 02:50:00.000,1.24181,1.24208,1.24159,1.24197,643.74
01.02.2018 02:55:00.000,1.24197,1.24206,1.24168,1.24177,511.16999999999996
01.02.2018 03:00:00.000,1.24178,1.24191,1.24149,1.24149,590.99
01.02.2018 03:05:00.000,1.24147,1.24172,1.24141,1.24163,493.65999999999997
01.02.2018 03:10:00.000,1.24163,1.24172,1.24155,1.24168,327.46999999999997
01.02.2018 03:15:00.000,1.24169,1.24195,1.24169,1.24192,512.17
01.02.2018 03:20:00.000,1.24192,1.24217,1.24186,1.24208,749.53
01.02.2018 03:25:00.000,1.24208,1.24234,1.24196,1.24223,685.08
